img_path,xmin,ymin,xmax,ymax,width,height,label
train_images/mushroom_51.jpg,24,23,202,183,227,227,mushroom
train_images/eggplant_37.jpg,34,34,88,201,227,227,eggplant
train_images/mushroom_20.jpg,49,86,183,185,227,227,mushroom
train_images/eggplant_51.jpg,51,59,191,164,227,227,eggplant
train_images/eggplant_26.jpg,40,70,179,168,227,227,eggplant
train_images/mushroom_12.jpg,87,21,205,193,227,227,mushroom
train_images/eggplant_6.jpg,24,83,222,144,227,227,eggplant
train_images/mushroom_1.jpg,44,66,155,167,227,227,mushroom
train_images/cucumber_62.jpg,21,26,207,185,227,227,cucumber
train_images/cucumber_60.jpg,55,58,219,201,227,227,cucumber
train_images/eggplant_9.jpg,11,64,179,202,227,227,eggplant
train_images/mushroom_14.jpg,32,35,191,197,227,227,mushroom
train_images/eggplant_53.jpg,29,36,171,198,227,227,eggplant
train_images/mushroom_25.jpg,66,32,164,201,227,227,mushroom
train_images/eggplant_39.jpg,17,30,212,186,227,227,eggplant
train_images/mushroom_33.jpg,24,46,205,212,227,227,mushroom
train_images/eggplant_49.jpg,35,37,206,155,227,227,eggplant
train_images/mushroom_49.jpg,32,43,193,208,227,227,mushroom
train_images/cucumber_51.jpg,7,17,220,199,227,227,cucumber
train_images/cucumber_61.jpg,25,35,210,170,227,227,cucumber
train_images/cucumber_5.jpg,25,70,201,146,227,227,cucumber
train_images/cucumber_44.jpg,16,77,210,139,227,227,cucumber
train_images/cucumber_1.jpg,23,42,206,199,227,227,cucumber
train_images/eggplant_41.jpg,20,54,186,156,227,227,eggplant
train_images/mushroom_38.jpg,101,58,155,126,227,227,mushroom
train_images/eggplant_3.jpg,19,42,213,186,227,227,eggplant
train_images/eggplant_23.jpg,15,4,215,185,227,227,eggplant
train_images/cucumber_36.jpg,29,74,195,121,227,227,cucumber
train_images/mushroom_6.jpg,146,45,197,203,227,227,mushroom
train_images/cucumber_63.jpg,33,55,199,142,227,227,cucumber
train_images/mushroom_11.jpg,39,27,204,193,227,227,mushroom
train_images/eggplant_14.jpg,59,41,206,149,227,227,eggplant
train_images/eggplant_15.jpg,23,51,178,215,227,227,eggplant
train_images/cucumber_20.jpg,12,51,216,165,227,227,cucumber
train_images/mushroom_34.jpg,11,99,141,177,227,227,mushroom
train_images/cucumber_50.jpg,24,63,203,161,227,227,cucumber
train_images/eggplant_50.jpg,12,86,188,190,227,227,eggplant
train_images/eggplant_11.jpg,49,37,192,172,227,227,eggplant
train_images/eggplant_27.jpg,71,40,198,152,227,227,eggplant
train_images/eggplant_46.jpg,64,48,166,148,227,227,eggplant
train_images/eggplant_29.jpg,1,17,222,226,227,227,eggplant
train_images/eggplant_34.jpg,7,25,210,222,227,227,eggplant
train_images/eggplant_21.jpg,44,95,201,182,227,227,eggplant
train_images/cucumber_16.jpg,14,44,208,205,227,227,cucumber
train_images/eggplant_7.jpg,51,49,200,198,227,227,eggplant
train_images/mushroom_47.jpg,60,44,163,196,227,227,mushroom
train_images/mushroom_7.jpg,45,30,185,200,227,227,mushroom
train_images/mushroom_36.jpg,54,26,185,192,227,227,mushroom
train_images/eggplant_17.jpg,41,58,179,157,227,227,eggplant
